Column1,Column2
https://bblais.github.io/faster-than-light-why-the-lawyer-is-wrong.html,https://bblais.github.io/posts/2011/Oct/14/faster-than-light-why-the-lawyer-is-wrong
https://bblais.github.io/faster-than-light-a-likely-solution.html,https://bblais.github.io/posts/2011/Oct/16/faster-than-light-a-likely-solution
https://bblais.github.io/the-florida-problem-a-new-intuition.html,https://bblais.github.io/posts/2011/Oct/30/the-florida-problem-a-new-intuition
https://bblais.github.io/presuppositionalist-arguments.html,https://bblais.github.io/posts/2012/Aug/19/presuppositionalist-arguments
https://bblais.github.io/statistics-vs-probability.html,https://bblais.github.io/posts/2012/Aug/31/statistics-vs-probability
https://bblais.github.io/logical-vs-reasonable.html,https://bblais.github.io/posts/2012/Dec/07/logical-vs-reasonable
https://bblais.github.io/science-refutes-god-debate.html,https://bblais.github.io/posts/2012/Dec/11/science-refutes-god-debate
https://bblais.github.io/santa-and-other-delusions.html,https://bblais.github.io/posts/2012/Jan/04/santa-and-other-delusions
https://bblais.github.io/bayes-and-hiccups-practical-working-solutions-that-no-one-seems-to-know.html,https://bblais.github.io/posts/2012/Jan/14/bayes-and-hiccups-practical-working-solutions-that-no-one-seems-to-know
https://bblais.github.io/best-quote-in-a-while-about-global-warming.html,https://bblais.github.io/posts/2012/Jan/27/best-quote-in-a-while-about-global-warming
https://bblais.github.io/lessons-from-bayes-rule.html,https://bblais.github.io/posts/2012/Jun/03/lessons-from-bayes-rule
https://bblais.github.io/what-is-good-in-religion.html,https://bblais.github.io/posts/2012/Mar/05/what-is-good-in-religion
https://bblais.github.io/evolution-and-rationality.html,https://bblais.github.io/posts/2012/Mar/06/evolution-and-rationality
https://bblais.github.io/on-being-wrong.html,https://bblais.github.io/posts/2012/Mar/20/on-being-wrong
https://bblais.github.io/free-will-and-entropy.html,https://bblais.github.io/posts/2012/May/07/free-will-and-entropy
https://bblais.github.io/suppression-of-ideas-in-science.html,https://bblais.github.io/posts/2012/May/14/suppression-of-ideas-in-science
https://bblais.github.io/a-few-things-about-carl-sagan.html,https://bblais.github.io/posts/2012/Nov/09/a-few-things-about-carl-sagan
https://bblais.github.io/god-does-not-exist-clearly.html,https://bblais.github.io/posts/2012/Nov/26/god-does-not-exist-clearly
https://bblais.github.io/critical-thinking.html,https://bblais.github.io/posts/2012/Oct/11/critical-thinking
https://bblais.github.io/breaking-news-doctor-hallucinates-and-is-convinced-that-science-is-wrong.html,https://bblais.github.io/posts/2012/Oct/12/breaking-news-doctor-hallucinates-and-is-convinced-that-science-is-wrong
https://bblais.github.io/bayesian-thinking.html,https://bblais.github.io/posts/2012/Oct/16/bayesian-thinking
https://bblais.github.io/great-science-ads.html,https://bblais.github.io/posts/2012/Oct/16/great-science-ads
https://bblais.github.io/aliens.html,https://bblais.github.io/posts/2012/Sep/07/aliens
https://bblais.github.io/naturalistic-bias-presupposing-naturalism.html,https://bblais.github.io/posts/2012/Sep/25/naturalistic-bias-presupposing-naturalism
https://bblais.github.io/10-signs-of-intellectual-honesty.html,https://bblais.github.io/posts/2013/Apr/20/10-signs-of-intellectual-honesty
https://bblais.github.io/some-recent-presentations.html,https://bblais.github.io/posts/2013/Apr/24/some-recent-presentations
https://bblais.github.io/consciousness-in-infants.html,https://bblais.github.io/posts/2013/Apr/28/consciousness-in-infants
https://bblais.github.io/trying-to-figure-out-fiction-i-like-game-of-thrones-semi-fail.html,https://bblais.github.io/posts/2013/Aug/19/trying-to-figure-out-fiction-i-like-game-of-thrones-semi-fail
https://bblais.github.io/textual-transmission-bottlenecks.html,https://bblais.github.io/posts/2013/Aug/20/textual-transmission-bottlenecks
